fold,epoch,phase,train_loss,val_loss,iou,dice,precision,recall
2,1,decoder_warmup,0.21120107850578965,0.16803397989819663,0.7372549478351679,0.8487584954112553,0.8239816077984606,0.8750716456217844
2,2,decoder_warmup,0.16240191678898255,0.15770330655848094,0.7555792027089848,0.8607748389170615,0.881610540615085,0.8409012476360226
2,3,decoder_warmup,0.14702767848846365,0.14804015171970342,0.7664493640527777,0.8677852642142058,0.8672781006429024,0.8682930212869224
2,4,full_finetune,0.1596042344438248,0.14639454031582744,0.7679442495811262,0.8687426085557539,0.8713000252926127,0.8662001608059434
2,5,full_finetune,0.1444672317412056,0.14311184456742748,0.7702624516924352,0.870224017863607,0.8828580046446726,0.8579465225386627
2,6,full_finetune,0.13707124123482106,0.13825874241256036,0.7789098822450107,0.8757159539324328,0.8768534542323658,0.8745814010590667
2,7,full_finetune,0.13067131200449064,0.13933004065534693,0.7765236897328959,0.8742058371871729,0.8948588893351244,0.8544846102698899
2,8,full_finetune,0.12489955810005547,0.13699243735017735,0.780915174265347,0.8769818861108707,0.886952261551613,0.8672331761345272
2,9,full_finetune,0.11984135042163518,0.13403452300023302,0.7848365546342385,0.8794492163402299,0.8726382443246946,0.8863673444624854
2,10,full_finetune,0.1162986674900752,0.13400271360855956,0.7859887476262124,0.8801721160571512,0.8679443798497662,0.8927493079724933
2,11,full_finetune,0.11268243704988656,0.13568688820087754,0.785935122901681,0.8801384919567967,0.8894093371592182,0.8710589240796222
2,12,full_finetune,0.10970563173009072,0.13228446483514456,0.7889539829861802,0.8820282584007361,0.879817229558124,0.884250428113909
2,13,full_finetune,0.10821354591129907,0.13435658644966164,0.7890185892555195,0.8820686313649329,0.8850813747508983,0.8790763286564233
2,14,full_finetune,0.10658024629893524,0.13432415706556958,0.7875121847105716,0.881126508055757,0.8851469548534707,0.8771424188492531
2,15,full_finetune,0.10529455021227319,0.13401672681264873,0.7878169061902747,0.8813172125875719,0.8859216357627082,0.8767604033201094
